iter	Passed	Remaining
509	796	765
510	797	763
511	799	762
512	801	760
513	802	758
514	803	757
515	805	755
516	807	754
517	808	752
518	810	750
519	811	748
520	812	747
521	814	745
522	815	743
523	817	742
524	818	740
525	819	738
526	821	737
527	823	735
528	824	734
529	826	732
530	828	731
531	829	730
532	831	728
533	832	726
534	833	724
535	835	723
536	836	721
537	838	719
538	839	717
539	840	716
540	842	714
541	843	713
542	845	711
543	846	709
544	848	708
545	849	706
546	850	704
547	852	702
548	853	701
549	855	699
550	856	697
551	857	696
552	859	694
553	860	692
554	862	691
555	863	689
556	864	687
557	866	686
558	867	684
559	869	682
560	870	681
561	872	679
562	873	678
563	875	676
564	876	674
565	877	673
566	879	671
567	880	669
568	882	668
569	883	666
570	884	664
571	886	663
572	887	661
573	889	659
574	890	658
575	891	656
576	893	655
577	895	653
578	896	652
579	898	650
580	899	649
581	901	647
582	902	645
583	904	644
584	905	642
585	907	640
586	908	639
587	909	637
588	911	635
589	913	634
590	914	632
591	915	631
592	917	629
593	919	628
594	920	626
595	922	625
596	923	623
597	924	621
598	926	620
599	928	618
600	929	617
601	931	615
602	932	613
603	933	612
604	935	610
605	936	609
606	938	607
607	939	605
608	941	604
609	942	602
610	944	601
611	945	599
612	947	598
613	948	596
614	950	595
615	952	593
616	954	592
617	955	590
618	956	588
619	958	587
620	959	585
621	961	584
622	962	582
623	964	581
624	966	579
625	967	577
626	968	576
627	970	574
628	972	573
629	973	571
630	975	570
631	976	568
632	978	567
633	979	565
634	981	563
635	982	562
636	983	560
637	986	559
638	987	558
639	989	556
640	991	555
641	992	553
642	994	551
643	995	550
644	996	548
645	998	547
646	999	545
647	1000	543
648	1002	542
649	1003	540
650	1005	538
651	1006	537
652	1007	535
653	1009	534
654	1010	532
655	1012	530
656	1013	529
657	1015	527
658	1016	526
659	1018	524
660	1019	523
661	1021	521
662	1022	519
663	1024	518
664	1025	516
665	1027	515
666	1028	513
667	1029	511
668	1031	510
669	1033	508
670	1034	507
671	1035	505
672	1037	503
673	1038	502
674	1040	500
675	1041	499
676	1043	497
677	1044	496
678	1045	494
679	1047	492
680	1048	491
681	1049	489
682	1051	488
683	1052	486
684	1054	484
685	1055	483
686	1056	481
687	1058	479
688	1059	478
689	1061	476
690	1062	475
691	1064	473
692	1065	472
693	1066	470
694	1068	468
695	1069	467
696	1071	465
697	1073	464
698	1075	462
699	1076	461
700	1078	459
701	1079	458
702	1081	456
703	1082	455
704	1083	453
705	1085	451
706	1086	450
707	1087	448
708	1089	447
709	1091	445
710	1092	444
711	1093	442
712	1095	440
713	1096	439
714	1097	437
715	1099	436
716	1100	434
717	1101	432
718	1103	431
719	1104	429
720	1106	428
721	1107	426
722	1108	424
723	1110	423
724	1111	421
725	1113	420
726	1114	418
727	1116	417
728	1117	415
729	1119	413
730	1120	412
731	1122	410
732	1123	409
733	1124	407
734	1126	406
735	1127	404
736	1128	402
737	1130	401
738	1131	399
739	1133	398
740	1134	396
741	1136	395
742	1137	393
743	1139	391
744	1140	390
745	1142	388
746	1143	387
747	1145	385
748	1146	384
749	1148	382
750	1149	381
751	1151	379
752	1152	378
753	1154	376
754	1155	375
755	1157	373
756	1159	372
757	1161	370
758	1163	369
759	1164	367
760	1166	366
761	1167	364
762	1169	363
763	1170	361
764	1172	360
765	1173	358
766	1175	357
767	1176	355
768	1178	353
769	1179	352
770	1181	350
771	1182	349
772	1183	347
773	1184	345
774	1186	344
775	1188	342
776	1189	341
777	1191	339
778	1192	338
779	1193	336
780	1195	335
781	1196	333
782	1198	332
783	1199	330
784	1201	328
785	1202	327
786	1203	325
787	1205	324
788	1206	322
789	1208	321
790	1209	319
791	1210	318
792	1212	316
793	1213	314
794	1215	313
795	1217	311
796	1218	310
797	1220	308
798	1221	307
799	1223	305
800	1224	304
801	1225	302
802	1227	301
803	1228	299
804	1230	298
805	1231	296
806	1232	294
807	1234	293
808	1235	291
809	1237	290
810	1238	288
811	1240	287
812	1241	285
813	1243	284
814	1244	282
815	1245	280
816	1247	279
817	1249	277
818	1250	276
819	1252	274
820	1253	273
821	1255	271
822	1256	270
823	1257	268
824	1259	267
825	1260	265
826	1262	264
827	1263	262
828	1264	260
829	1266	259
830	1267	257
831	1269	256
832	1270	254
833	1272	253
834	1273	251
835	1275	250
836	1276	248
837	1277	247
838	1279	245
839	1280	243
840	1282	242
841	1283	240
842	1285	239
843	1286	237
844	1288	236
845	1289	234
846	1291	233
847	1292	231
848	1294	230
849	1295	228
850	1296	227
851	1298	225
852	1299	224
853	1301	222
854	1303	220
855	1304	219
856	1306	217
857	1307	216
858	1309	214
859	1310	213
860	1312	211
861	1314	210
862	1315	208
863	1317	207
864	1318	205
865	1320	204
866	1322	202
867	1324	201
868	1326	199
869	1328	198
870	1330	197
871	1333	195
872	1337	194
873	1342	193
874	1343	191
875	1345	190
876	1349	189
877	1351	187
878	1353	186
879	1355	184
880	1357	183
881	1358	181
882	1360	180
883	1363	178
884	1365	177
885	1366	175
886	1368	174
887	1370	172
888	1371	171
889	1373	169
890	1375	168
891	1377	166
892	1380	165
893	1382	163
894	1384	162
895	1386	160
896	1388	159
897	1390	157
898	1393	156
899	1395	155
900	1397	153
901	1398	151
902	1400	150
903	1403	149
904	1404	147
905	1408	146
906	1410	144
907	1413	143
908	1415	141
909	1418	140
910	1421	138
911	1424	137
912	1426	135
913	1428	134
914	1430	132
915	1432	131
916	1434	129
917	1436	128
918	1437	126
919	1439	125
920	1441	123
921	1443	122
922	1446	120
923	1448	119
924	1449	117
925	1451	115
926	1453	114
927	1455	112
928	1457	111
929	1459	109
930	1461	108
931	1462	106
932	1464	105
933	1466	103
934	1468	102
935	1470	100
936	1472	98
937	1474	97
938	1477	95
939	1478	94
940	1481	92
941	1483	91
942	1485	89
943	1487	88
944	1489	86
945	1490	85
946	1492	83
947	1494	81
948	1496	80
949	1498	78
950	1500	77
951	1503	75
952	1508	74
953	1510	72
954	1513	71
955	1515	69
956	1519	68
957	1521	66
958	1523	65
959	1526	63
960	1527	62
961	1530	60
962	1532	58
963	1534	57
964	1537	55
965	1539	54
966	1541	52
967	1543	51
968	1545	49
969	1547	47
970	1549	46
971	1551	44
972	1554	43
973	1556	41
974	1558	39
975	1560	38
976	1563	36
977	1565	35
978	1567	33
979	1569	32
980	1570	30
981	1572	28
982	1573	27
983	1575	25
984	1577	24
985	1579	22
986	1581	20
987	1582	19
988	1585	17
989	1587	16
990	1588	14
991	1590	12
992	1593	11
993	1594	9
994	1596	8
995	1598	6
996	1600	4
997	1602	3
998	1604	1
999	1606	0
