iter	Logloss
0	0.6675129191
1	0.6471724248
2	0.6246390179
3	0.6012663988
4	0.5773433771
5	0.5576480532
6	0.5345054501
7	0.5149060803
8	0.497144787
9	0.479372304
10	0.4679504212
11	0.4572758285
12	0.4445068848
13	0.4280010718
14	0.4210161542
15	0.4124067245
16	0.3978568582
17	0.3914097252
18	0.3841567884
19	0.3741528633
20	0.3654379629
21	0.3589585428
22	0.3508739282
23	0.3437518502
24	0.3363597099
25	0.3317365307
26	0.3239806015
27	0.3187852553
28	0.3107214998
29	0.30253197
30	0.2961936136
31	0.2917746471
32	0.2879659183
33	0.2824542756
34	0.2800801401
35	0.2773649797
36	0.2722095038
37	0.2692805673
38	0.2643446044
39	0.2607647286
40	0.2583205102
41	0.2541800081
42	0.2520124712
43	0.2479009664
44	0.2456975648
45	0.2431495761
46	0.2417754869
47	0.2388350472
48	0.2354968503
49	0.2336066819
50	0.2317003776
51	0.2295209211
52	0.2264936927
53	0.2240355738
54	0.2218169327
55	0.2206066783
56	0.2182964151
57	0.2163479718
58	0.2148546315
59	0.2131638354
60	0.2120887223
61	0.2100944662
62	0.2084005094
63	0.2076891327
64	0.2061728142
65	0.2053224496
66	0.2040904211
67	0.2033517593
68	0.2026253862
69	0.2018948871
70	0.200769014
71	0.2001818173
72	0.1993753688
73	0.198713638
74	0.1980215159
75	0.1974883223
76	0.1968590552
77	0.1957035884
78	0.1947394931
79	0.1932913125
80	0.1920826331
81	0.1914879291
82	0.1910088308
83	0.1901715365
84	0.1893280164
85	0.1887595441
86	0.1882825883
87	0.1876285522
88	0.1866376991
89	0.1859998951
90	0.1854394498
91	0.1846126148
92	0.1838827078
93	0.1836381343
94	0.1823913275
95	0.1816600475
96	0.1812966743
97	0.1805338629
98	0.1799187296
99	0.1790938337
100	0.1783625383
101	0.177762643
102	0.1774650987
103	0.1772094226
104	0.176913592
105	0.1765614071
106	0.1762689458
107	0.1754787269
108	0.1750945243
109	0.1745814414
110	0.1741410783
111	0.173652769
112	0.1733415067
113	0.1727655202
114	0.1723968901
115	0.1719179854
116	0.1715268894
117	0.1711813094
118	0.1707761617
119	0.1704050705
120	0.1700651954
121	0.1699017216
122	0.1694587469
123	0.1692143166
124	0.1687490468
125	0.1684360692
126	0.1681895218
127	0.1679398989
128	0.1674667264
129	0.1671908888
130	0.1666608408
131	0.1662578424
132	0.1657607117
133	0.1653892197
134	0.1649385182
135	0.1645985841
136	0.1643625556
137	0.164108575
138	0.1638016084
139	0.1633427358
140	0.1630946645
141	0.1627771826
142	0.1624952486
143	0.1621730537
144	0.1619600955
145	0.1615290441
146	0.1611646796
147	0.1609948857
148	0.1606823857
149	0.16026948
150	0.1598340661
151	0.1595366493
152	0.1592613063
153	0.158979532
154	0.1587218012
155	0.1584843597
156	0.1582145693
157	0.1580802382
158	0.1576996704
159	0.1572929664
160	0.157137573
161	0.1569483931
162	0.1566518999
163	0.1563084874
164	0.1559732231
165	0.1557308899
166	0.1553166269
167	0.1551429518
168	0.1548935592
169	0.1546884246
170	0.154402819
171	0.154109794
172	0.1538940574
173	0.153738921
174	0.1535467611
175	0.1533604703
176	0.1532410379
177	0.1530837997
178	0.15281609
179	0.1523752137
180	0.152177491
181	0.151778502
182	0.1515591392
183	0.1513522728
184	0.151149553
185	0.1509935622
186	0.1507797927
187	0.1505986218
188	0.1503580543
189	0.1501520678
190	0.1498898685
191	0.149645781
192	0.1493850785
193	0.1492246432
194	0.1490306932
195	0.1487254006
196	0.1484119283
197	0.1483135879
198	0.1481579548
199	0.1478941164
200	0.147712896
201	0.14739554
202	0.1472043988
203	0.1469914647
204	0.14685794
205	0.1466767957
206	0.1464902323
207	0.1463234795
208	0.1461072459
209	0.14587847
210	0.1457420712
211	0.1455361069
212	0.145357967
213	0.1450169516
214	0.1447851389
215	0.1445328186
216	0.1443454392
217	0.1441810662
218	0.1439822063
219	0.1436871945
220	0.1433995172
221	0.1432940583
222	0.1431620184
223	0.143035233
224	0.1428426063
225	0.1426446443
226	0.1424474531
227	0.1422496852
228	0.1420677909
229	0.1419200499
230	0.1417778763
231	0.1416567463
232	0.1414809673
233	0.1412792041
234	0.1410918994
235	0.1408775359
236	0.1406647014
237	0.1403516697
238	0.140228957
239	0.1400254047
240	0.1398141694
241	0.1396185959
242	0.1394290591
243	0.1391763316
244	0.1390950239
245	0.1388502149
246	0.1386080854
247	0.1382786823
248	0.1380510976
249	0.1379004283
250	0.1377238192
251	0.1374754897
252	0.1372119002
253	0.1370845241
254	0.1368748325
255	0.1366652561
256	0.1365083331
257	0.1363617058
258	0.1361835192
259	0.1359122419
260	0.1358047188
261	0.1356532047
262	0.1354748187
263	0.1352967161
264	0.1350444729
265	0.134951792
266	0.1348447279
267	0.1345965319
268	0.1344702648
269	0.134212094
270	0.1340181607
271	0.1339713394
272	0.1339019976
273	0.1337510661
274	0.1335922615
275	0.1333897096
276	0.1332055162
277	0.1331178032
278	0.1329276817
279	0.1326310987
280	0.1324586561
281	0.1322701124
282	0.1321018599
283	0.1319776026
284	0.131789554
285	0.1316404136
286	0.1314943471
287	0.1314113583
288	0.1311544088
289	0.1310044315
290	0.1307341302
291	0.1306261168
292	0.1304783147
293	0.1302788322
294	0.1301678955
295	0.1300030553
296	0.129859852
297	0.1297412066
298	0.1295818972
299	0.129489205
300	0.1293367663
301	0.1291919918
302	0.1290647162
303	0.1288983054
304	0.1287254646
305	0.1285317812
306	0.1283463807
307	0.1282040136
308	0.1279748493
309	0.1278073714
310	0.1276994175
311	0.1275053769
312	0.127194693
313	0.1270292729
314	0.1268543372
315	0.1267589368
316	0.1266768332
317	0.1264841761
318	0.126295428
319	0.1261534702
320	0.1259466533
321	0.1258128504
322	0.1256396761
323	0.1255487742
324	0.1254269178
325	0.1253129981
326	0.1251146132
327	0.1249893808
328	0.1248632484
329	0.1247124394
330	0.124456478
331	0.1243308446
332	0.1241539345
333	0.1239770362
334	0.1237785612
335	0.1235745079
336	0.1234388429
337	0.1233303182
338	0.1231121877
339	0.1229436498
340	0.1227980275
341	0.1226871468
342	0.1226019759
343	0.1223653152
344	0.1222464125
345	0.122097492
346	0.1219171737
347	0.1217333839
348	0.1215871548
349	0.1214594719
350	0.1212489528
351	0.121128564
352	0.1210418411
353	0.1209641216
354	0.1208014556
355	0.1206490677
356	0.1205593779
357	0.1203487332
358	0.1200700982
359	0.1198934289
360	0.1197865746
361	0.1195945879
362	0.1194058889
