Variables,Mark
x_1,1.0
x_109,0.0
x_113,0.0
x_12,1.0
x_124,1.0
x_127,0.0
x_144,0.0
x_16,1.0
x_18,0.0
x_2,1.0
x_25,1.0
x_27,0.0
x_28,1.0
x_30,0.0
x_33,1.0
x_38,0.0
x_42,1.0
x_44,1.0
x_45,0.0
x_52,1.0
x_55,0.0
x_57,1.0
x_59,1.0
x_60,0.0
x_62,0.0
x_64,0.0
x_67,0.0
x_68,0.0
x_7,1.0
x_70,1.0
x_71,0.0
x_73,0.0
x_77,1.0
x_78,1.0
x_8,1.0
x_80,0.0
x_83,1.0
x_89,0.0
x_91,0.0
x_99,1.0
